City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,stanley,54.868,-1.6985,5.71,88,0,1.54,GB,1731361133
83,qulsary,46.9531,54.0198,0.37,59,49,4.33,KZ,1731361134
84,holualoa,19.6228,-155.9522,26.57,71,20,3.09,US,1731360842
85,qaqortoq,60.7167,-46.0333,-0.53,96,100,4.27,GL,1731361027
86,udachny,66.4167,112.4,-25.36,100,100,1.7,RU,1731361139
87,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,64,75,5.0,RU,1731361141
88,san patricio,28.017,-97.5169,30.97,44,43,2.18,US,1731361142
89,lata,40.1629,-8.3327,11.0,76,0,1.48,PT,1731361143
90,siguiri,11.6667,-9.5,24.65,36,5,0.96,GN,1731361144
91,kabansk,52.0486,106.6528,-1.5,64,100,2.82,RU,1731361146
92,cabo san lucas,22.8909,-109.9124,28.17,44,40,3.6,MX,1731360869
93,bir el djir,35.72,-0.545,14.58,77,20,4.12,DZ,1731361148
94,bako,5.7833,36.5667,19.22,65,92,1.52,ET,1731361150
95,oriximina,-1.7656,-55.8661,29.87,58,100,1.02,BR,1731361151
96,west island,-12.1568,96.8225,25.99,89,100,7.2,CC,1731361020
97,margaret river,-33.95,115.0667,15.79,70,98,4.81,AU,1731361153
98,albany,42.6001,-73.9662,13.69,69,8,0.45,US,1731361155
99,fort st. john,56.2499,-120.8529,-1.06,86,100,2.06,CA,1731361156
100,bilibino,68.0546,166.4372,-23.99,98,63,1.87,RU,1731361157
101,rehoboth,-23.3167,17.0833,20.91,13,0,2.92,NA,1731361158
102,new norfolk,-42.7826,147.0587,13.29,57,5,1.14,AU,1731361015
103,karagandy,49.8019,73.1021,-11.03,100,100,2.74,KZ,1731361161
104,salahonda,2.1019,-78.7217,25.34,77,20,4.44,CO,1731361162
105,ixtapa,20.7,-105.2,29.57,70,20,4.63,MX,1731361163
106,vanimo,-2.6741,141.3028,27.03,82,93,2.24,PG,1731361165
107,mossendjo,-2.9506,12.7261,21.03,97,84,0.78,CG,1731361166
108,ilulissat,69.2167,-51.1,-5.99,73,100,0.0,GL,1731361167
109,alcantara,-2.4089,-44.4147,28.11,81,100,3.13,BR,1731361168
110,puerto ayora,-0.7393,-90.3518,23.64,82,79,2.68,EC,1731361015
111,suntar,62.1444,117.6319,-15.47,95,84,1.93,RU,1731361171
112,utrik,11.2278,169.8474,28.54,77,30,7.2,MH,1731361023
113,umba,66.6871,34.3429,-0.26,95,60,3.22,RU,1731361173
114,kayangel,8.0823,134.7173,28.65,71,64,3.11,PW,1731361176
115,klyuchi,52.2667,79.1667,-7.18,81,95,6.94,RU,1731361177
116,saurimo,-9.6608,20.3916,17.82,95,2,0.97,AO,1731361180
117,plettenberg bay,-34.0527,23.3716,15.63,89,12,2.63,ZA,1731361104
118,kirakira,-10.4544,161.9205,28.17,80,87,4.58,SB,1731361182
119,sitka,57.0531,-135.33,8.94,66,75,1.54,US,1731361042
120,la fleche,47.6982,-0.0755,8.29,94,16,3.82,FR,1731361185
121,filey,54.21,-0.2892,9.88,64,51,0.89,GB,1731361187
122,argostolion,38.1811,20.489,14.35,96,100,4.38,GR,1731361174
123,salinopolis,-0.6136,-47.3561,26.81,79,100,6.58,BR,1731361190
124,port said,31.2565,32.2841,19.99,77,0,3.09,EG,1731361191
125,dompu,-8.5356,118.4622,23.75,93,56,0.81,ID,1731361192
126,karachi,24.9056,67.0822,24.9,83,20,2.06,PK,1731361116
127,kaiyuan,23.6977,103.3037,15.77,94,0,1.98,CN,1731361195
128,okhotsk,59.3833,143.3,-13.82,68,98,9.85,RU,1731361196
129,east ballina,-28.8667,153.5833,21.04,96,100,2.68,AU,1731361197
130,kununurra,-15.7667,128.7333,29.99,79,75,4.12,AU,1731361199
131,portage la prairie,49.9728,-98.2926,3.27,54,67,4.51,CA,1731361045
132,haiku-pauwela,20.9219,-156.3051,28.01,67,20,13.86,US,1731361024
133,anadyr,64.75,177.4833,-14.72,84,0,4.0,RU,1731361202
134,belyy yar,53.6039,91.3903,0.94,69,0,6.0,RU,1731361204
135,charters towers,-20.1,146.2667,26.3,53,29,6.82,AU,1731361205
136,sibut,5.718,19.0739,22.49,87,22,0.49,CF,1731361208
137,pisco,-13.7,-76.2167,22.03,68,0,8.75,PE,1731361209
138,fiche,9.8,38.7333,8.32,64,33,2.0,ET,1731361210
139,port lincoln,-34.7333,135.8667,17.14,77,6,2.22,AU,1731361211
140,georgievka,49.3314,81.5761,-4.11,92,100,4.73,KZ,1731361213
141,aklera,24.4167,76.5667,21.11,47,4,1.83,IN,1731361214
142,fort mcmurray,56.7268,-111.381,0.77,80,100,3.6,CA,1731361005
143,ghanzi,-21.5667,21.7833,21.6,65,86,3.3,BW,1731361217
144,floro,61.5996,5.0328,6.98,93,100,2.06,NO,1731361218
145,vila franca do campo,37.7167,-25.4333,20.23,99,97,7.25,PT,1731361219
146,bishkek,42.87,74.59,5.11,75,98,0.8,KG,1731361220
147,asparuhovo,43.3915,25.1255,4.43,94,100,1.01,BG,1731361222
148,chibougamau,49.9168,-74.3659,0.79,93,100,3.09,CA,1731360990
149,axim,4.8699,-2.2405,26.12,85,2,3.91,GH,1731361224
150,uturoa,-16.7333,-151.4333,26.15,81,88,7.86,PF,1731361226
151,paraiso,9.8383,-83.8656,18.38,97,100,1.11,CR,1731361227
152,fort bragg,35.139,-79.006,22.75,78,100,4.12,US,1731361228
153,kailua-kona,19.6406,-155.9956,28.64,69,20,3.09,US,1731361229
154,santa vitoria do palmar,-33.5189,-53.3681,16.77,88,100,0.52,BR,1731361231
155,butiama,-1.7667,33.9667,18.16,83,76,0.94,TZ,1731361232
156,ituiutaba,-18.9689,-49.465,28.57,50,57,1.34,BR,1731361233
157,aykhal,66.0,111.5,-20.59,100,100,2.43,RU,1731361234
158,georgetown,5.4112,100.3354,25.96,84,20,1.03,MY,1731361236
159,vadso,70.0744,29.7487,4.09,81,40,5.14,NO,1731361237
160,noshiro,40.2039,140.0242,7.75,74,100,2.24,JP,1731361240
161,xiva,41.3783,60.3639,9.17,53,98,2.47,UZ,1731361241
162,erenhot,43.6475,111.9767,2.01,55,0,3.43,CN,1731361242
163,valdivia,-39.8142,-73.2459,15.05,63,85,3.06,CL,1731361243
164,maitum,6.0392,124.4986,25.81,84,32,1.82,PH,1731361245
165,choyr,46.3611,108.3611,-1.98,51,15,3.39,MN,1731361246
166,golden valley,45.0097,-93.3491,8.47,54,0,5.14,US,1731361247
167,nadym,65.5333,72.5167,-21.76,99,89,4.72,RU,1731361249
168,itupiranga,-5.1347,-49.3267,24.83,87,100,2.57,BR,1731361250
169,st. john's,47.5649,-52.7093,7.21,86,100,3.6,CA,1731361059
170,salinas,36.6777,-121.6555,12.29,96,75,5.14,US,1731361252
171,lhasa,29.65,91.1,1.32,45,0,1.95,CN,1731360974
172,parabel',58.6978,81.4825,-10.6,90,100,5.71,RU,1731361255
173,kilindoni,-7.9139,39.6668,26.62,81,0,4.25,TZ,1731361256
174,antsiranana,-12.2787,49.2917,25.37,79,92,6.45,MG,1731361258
175,kolwezi,-10.7148,25.4667,17.18,90,97,0.67,CD,1731361260
176,la ronge,55.1001,-105.2842,1.14,80,100,6.17,CA,1731361261
177,nieuw amsterdam,5.8833,-55.0833,26.01,89,40,2.06,SR,1731361263
178,vernon,50.2581,-119.2691,9.31,87,100,1.79,CA,1731361264
179,daru,-9.0763,143.2092,27.39,84,100,5.46,PG,1731361265
180,jamestown,42.097,-79.2353,10.57,87,100,7.2,US,1731361037
181,aripuana,-9.1667,-60.6333,26.61,76,78,2.0,BR,1731361268
182,ul'yanovka,59.6394,30.7647,-0.87,95,100,1.86,RU,1731361269
183,zhanaozen,43.3,52.8,5.46,81,100,5.52,KZ,1731361270
184,kristiansund,63.1115,7.732,8.4,76,75,4.12,NO,1731361271
185,kapshagay,43.8833,77.0833,6.91,69,100,2.65,KZ,1731361273
186,ulsteinvik,62.3432,5.8487,8.75,90,97,0.89,NO,1731361274
